DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings,Journal Abbreviation,Affiliation,Country,Grants,Authors,Publisher
10.1371/journal.pone.0238557,2021,N/A,"Animals; Biodiversity; Biological Monitoring; California; Dna; Dna Barcoding, Taxonomic; Dna, Environmental; Ecological Parameter Monitoring; Ecosystem; Environmental Monitoring; Fishes; Pacific Ocean",N/A,Methods; Analysis; Methods; Analysis; Methods; Methods; Genetics,PLoS One,N/A,United States,N/A,Zachary Gold; Joshua Sprague; David J Kushner; Erick Zerecero Marin; Paul H Barber,N/A
10.1098/rsos.150088,2015,MiSeq; community ecology; environmental DNA; metabarcoding; mitogenome; resource management,N/A,N/A,N/A,R Soc Open Sci,N/A,England,N/A,M Miya; Y Sato; T Fukunaga; T Sado; J Y Poulsen; K Sato; T Minamoto; S Yamamoto; H Yamanaka; H Araki; M Kondoh; W Iwasaki,N/A
10.1371/journal.pone.0041732,2012,N/A,"Animals; Biodiversity; Birds; Dna; Denmark; Ecosystem; Environment; Environmental Monitoring; Fishes; Marine Biology; Models, Statistical; Oceans And Seas; Polymerase Chain Reaction; Seawater",Biodiversity; Ecosystem,Physiology; Metabolism; Methods; Physiology; Methods,PLoS One,N/A,United States,N/A,Philip Francis Thomsen; Jos Kielgast; Lars Lønsmann Iversen; Peter Rask Møller; Morten Rasmussen; Eske Willerslev,N/A
10.1371/journal.pone.0022746,2011,N/A,Animals; Anura; Aquatic Organisms; Dna; Ecosystem; Electrophoresis; Idaho; Polymerase Chain Reaction; Rivers; Species Specificity; Caudata; Water,Ecosystem; Rivers,Genetics; Genetics; Isolation & Purification; Methods; Genetics,PLoS One,N/A,United States,N/A,Caren S Goldberg; David S Pilliod; Robert S Arkle; Lisette P Waits,N/A
10.1098/rsbl.2008.0118,2008,N/A,"Animals; Biodiversity; Dna, Mitochondrial; Environmental Monitoring; Fresh Water; Rana Catesbeiana; Wetlands",Biodiversity,Analysis; Methods; Chemistry; Genetics,Biol Lett,N/A,England,N/A,Gentile Francesco Ficetola; Claude Miaud; François Pompanon; Pierre Taberlet,N/A
10.1093/nar/24.16.3189,1996,N/A,"Alleles; Animals; Base Sequence; Computer Simulation; Feces; Genotype; Guidelines As Topic; Models, Theoretical; Molecular Sequence Data; Polymerase Chain Reaction; Reproducibility Of Results; Ursidae",N/A,Chemistry; Methods; Genetics,Nucleic Acids Res,N/A,England,N/A,P Taberlet; S Griffin; B Goossens; S Questiau; V Manceau; N Escaravage; L P Waits; J Bouvet,N/A
10.1038/s41598-021-85488-9,2021,N/A,"Animal Feed; Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Denmark; Ecosystem; Feces; Food Chain; Geography","Biodiversity; Dna Barcoding, Taxonomic; Food Chain",Analysis; Analysis; Chemistry,Sci Rep,N/A,England,N/A,Louise Nørgaard; Carsten Riis Olesen; Kristian Trøjelsgaard; Cino Pertoldi; Jeppe Lund Nielsen; Pierre Taberlet; Aritz Ruiz-González; Marta De Barba; Laura Iacolina,N/A
10.1038/s41598-022-15488-w,2022,N/A,"Animals; Beijing; Biodiversity; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Fisheries; Fishes; Water","Dna, Environmental",Methods; Methods; Genetics; Methods; Genetics,Sci Rep,N/A,England,N/A,Mei Shen; Nengwen Xiao; Ziyi Zhao; Ningning Guo; Zunlan Luo; Guang Sun; Junsheng Li,N/A
10.7717/peerj.14071,2022,Assessment; Biodiversity; Biomonitoring; Management; Marine; Metabarcoding; Primer set; Protocol; Site occupancy; eDNA,"Ecosystem; Dna, Environmental; Dna Barcoding, Taxonomic; Environmental Monitoring; Biodiversity","Ecosystem; Dna, Environmental",Genetics; Methods; Methods,PeerJ,N/A,United States,GT10483,Zachary Gold; Adam R Wall; Teia M Schweizer; N Dean Pentcheff; Emily E Curd; Paul H Barber; Rachel S Meyer; Robert Wayne; Kevin Stolzenbach; Kat Prickett; Justin Luedy; Regina Wetzer,N/A
10.1038/srep40368,2017,N/A,"Animals; Bays; Biodiversity; Dna; Dna Barcoding, Taxonomic; Environmental Monitoring; Fisheries; Fishes; Geography; Japan; Sequence Analysis, Dna; Species Specificity; Water",Biodiversity,Genetics; Methods; Methods; Genetics,Sci Rep,N/A,England,N/A,Satoshi Yamamoto; Reiji Masuda; Yukuto Sato; Tetsuya Sado; Hitoshi Araki; Michio Kondoh; Toshifumi Minamoto; Masaki Miya,N/A
