DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings
10.1371/journal.pone.0238557,2021,N/A,"Animals; Biodiversity; Biological Monitoring; California; Dna; Dna Barcoding, Taxonomic; Dna, Environmental; Ecological Parameter Monitoring; Ecosystem; Environmental Monitoring; Fishes; Pacific Ocean",N/A,Methods; Analysis; Methods; Analysis; Methods; Methods; Genetics
10.1098/rsos.150088,2015,MiSeq; community ecology; environmental DNA; metabarcoding; mitogenome; resource management,N/A,N/A,N/A
10.1371/journal.pone.0041732,2012,N/A,"Animals; Biodiversity; Birds; Dna; Denmark; Ecosystem; Environment; Environmental Monitoring; Fishes; Marine Biology; Models, Statistical; Oceans And Seas; Polymerase Chain Reaction; Seawater",Biodiversity; Ecosystem,Physiology; Metabolism; Methods; Physiology; Methods
10.1371/journal.pone.0022746,2011,N/A,Animals; Anura; Aquatic Organisms; Dna; Ecosystem; Electrophoresis; Idaho; Polymerase Chain Reaction; Rivers; Species Specificity; Caudata; Water,Ecosystem; Rivers,Genetics; Genetics; Isolation & Purification; Methods; Genetics
10.1098/rsbl.2008.0118,2008,N/A,"Animals; Biodiversity; Dna, Mitochondrial; Environmental Monitoring; Fresh Water; Rana Catesbeiana; Wetlands",Biodiversity,Analysis; Methods; Chemistry; Genetics
10.1093/nar/24.16.3189,1996,N/A,"Alleles; Animals; Base Sequence; Computer Simulation; Feces; Genotype; Guidelines As Topic; Models, Theoretical; Molecular Sequence Data; Polymerase Chain Reaction; Reproducibility Of Results; Ursidae",N/A,Chemistry; Methods; Genetics
10.1038/s41598-021-85488-9,2021,N/A,"Animal Feed; Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Denmark; Ecosystem; Feces; Food Chain; Geography","Biodiversity; Dna Barcoding, Taxonomic; Food Chain",Analysis; Analysis; Chemistry
10.1038/s41598-022-15488-w,2022,N/A,"Animals; Beijing; Biodiversity; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Fisheries; Fishes; Water","Dna, Environmental",Methods; Methods; Genetics; Methods; Genetics
10.7717/peerj.14071,2022,Assessment; Biodiversity; Biomonitoring; Management; Marine; Metabarcoding; Primer set; Protocol; Site occupancy; eDNA,"Ecosystem; Dna, Environmental; Dna Barcoding, Taxonomic; Environmental Monitoring; Biodiversity","Ecosystem; Dna, Environmental",Genetics; Methods; Methods
10.1038/srep40368,2017,N/A,"Animals; Bays; Biodiversity; Dna; Dna Barcoding, Taxonomic; Environmental Monitoring; Fisheries; Fishes; Geography; Japan; Sequence Analysis, Dna; Species Specificity; Water",Biodiversity,Genetics; Methods; Methods; Genetics
10.1371/journal.pone.0266720,2022,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Estuaries; Fishes","Dna, Environmental",Methods; Genetics
10.1002/ece3.4213,2018,Arctic; coastal biodiversity; eDNA metabarcoding; global changes; invasion; spatio‐temporal distribution,N/A,N/A,N/A
10.1371/journal.pone.0236540,2020,N/A,"Animals; Atlantic Ocean; Dna Barcoding, Taxonomic; Dna Primers; Dna, Environmental; Environmental Monitoring; Fishes; Phylogeny; Sequence Analysis, Dna",N/A,Methods; Genetics; Analysis; Classification; Genetics
10.1186/1742-9994-10-34,2013,DNA barcoding; Food web; Mini-barcode; Mitochondrial marker; Second generation sequencing; Trophic interactions,N/A,N/A,N/A
10.1371/journal.pone.0010278,2010,N/A,"Animals; Base Sequence; Biodiversity; Copepoda; Evolution, Molecular; Genes, Mitochondrial; Genetic Markers; Genetic Variation; Molecular Sequence Data; Plankton; Rna, Ribosomal; Rna, Ribosomal, 28S",N/A,Classification; Genetics; Genetics; Genetics; Genetics
10.1098/rstb.2003.1447,2004,N/A,Base Sequence; Classification; Computational Biology; Dna; Electronic Data Processing; Phylogeny; Species Specificity,Electronic Data Processing,Genetics; Methods; Methods; Classification
10.1002/ece3.10275,2023,cascade hydropower; environmental DNA; fish diversity; species composition of the community; the Wujiang River,N/A,N/A,N/A
10.1371/journal.pone.0210357,2019,N/A,"Animals; Biodiversity; Dna; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Fishes; High-Throughput Nucleotide Sequencing; Japan; Lakes; Sequence Analysis, Dna; Species Specificity",N/A,Genetics; Isolation & Purification; Methods; Methods; Classification; Genetics
10.1016/j.ese.2024.100441,2024,Aquatic biodiversity; Environmental nucleic acids; Organismal size; Species detectability,N/A,N/A,N/A
10.1038/s41467-020-17337-8,2020,N/A,"Animals; Biodiversity; Dna, Environmental; Ecosystem; Insecta; Rivers",Biodiversity,Chemistry; Genetics; Classification; Genetics; Chemistry
10.1002/ece3.1439,2015,Altitude range; comparative analysis; environmental filtering; insects; latitude; spatial extent; variance partitioning,N/A,N/A,N/A
10.1002/ece3.834,2013,Active dispersal; Moran's eigenvector maps; aquatic macroinvertebrates; community structure; environmental filtering; headwater streams; partial redundancy analysis; passive dispersal; variation partitioning,N/A,N/A,N/A
10.1002/ece3.470,2013,Co-occurrence; dispersal; environmental heterogeneity; headwater streams; metacommunities,N/A,N/A,N/A
10.1111/1755-0998.13658,2022,allochthonous DNA; ancient DNA; biodiversity assessment; environmental DNA; extracellular DNA; intracellular DNA; metabarcoding; spatial resolution; temporal resolution,"Biodiversity; Biological Monitoring; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring","Dna, Environmental",N/A
10.1128/mBio.00637-18,2018,biodiversity; ecology; extracellular DNA; mathematical modeling; phylogenetic analysis; sampling theory,"Bacteria; Biodiversity; Dna, Bacterial; Ecosystem; Extracellular Space; Microbiota; Models, Theoretical; Phylogeny; Rna, Ribosomal, 16S",Biodiversity; Ecosystem,Classification; Genetics; Genetics; Metabolism; Genetics; Genetics; Genetics
10.24272/j.issn.2095-8137.2021.331,2022,DNA extraction; Estuarine ecosystem; Fish diversity; Sampling strategies; eDNA metabarcoding,"Animals; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Fishes; Water","Dna Barcoding, Taxonomic; Dna, Environmental; Fishes",Veterinary; Genetics
10.1038/s41598-021-86731-z,2021,N/A,"Animals; Biodiversity; Biomass; Dna Barcoding, Taxonomic; Environmental Monitoring; Food Chain; High-Throughput Nucleotide Sequencing; Oceans And Seas; Zooplankton","Biodiversity; Biomass; Dna Barcoding, Taxonomic; Food Chain; High-Throughput Nucleotide Sequencing",Classification; Genetics; Growth & Development
10.1038/s42003-021-01760-8,2021,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring; Fishes; Membranes, Artificial; Metagenome; Metagenomics; Oceans And Seas; Phylogeny","Biodiversity; Dna Barcoding, Taxonomic; Environmental Monitoring; Metagenome; Metagenomics",Isolation & Purification; Instrumentation; Classification; Genetics
10.1111/1755-0998.12281,2015,Lepomis macrochirus; eDNA extraction; eDNA preservation; environmental DNA,"Alcohols; Dna; Filtration; Metagenomics; Phenol; Preservation, Biological; Temperature",N/A,Isolation & Purification; Methods; Methods; Methods
10.7717/peerj.12357,2021,16S; Illumina; Invasive; Metabarcoding; Monitoring; Newt; Water; eDNA,N/A,N/A,N/A
10.1093/nar/gkv107,2015,N/A,Algorithms; Computer Simulation; Dna Primers; Gene Library; High-Throughput Nucleotide Sequencing; Internet; Multiplex Polymerase Chain Reaction; Reproducibility Of Results; Software,Algorithms; Gene Library,Genetics; Methods; Methods
10.1002/eap.2379,2021,beta diversity; biomonitoring; citizen science; community ecology; ecological modeling; environmental DNA; gradient forest; remote sensing; zeta diversity,"Biodiversity; California; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring","Dna, Environmental; Ecosystem",N/A
10.1371/journal.pone.0285674,2023,N/A,"Dna Barcoding, Taxonomic; Dna; Polymerase Chain Reaction; Dna, Environmental; Uncertainty; Biodiversity","Dna Barcoding, Taxonomic; Dna, Environmental",Methods; Genetics; Methods
10.1038/s41598-020-71238-w,2020,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring; Fishes; Germany; Particulate Matter; Retrospective Studies; Rivers",Biodiversity,Methods; Genetics; Methods; Classification; Genetics; Chemistry; Chemistry
10.1038/s41598-018-23052-8,2018,N/A,"Animals; Biodiversity; Dna; Environmental Monitoring; Filtration; Fresh Water; Preservation, Biological",N/A,Analysis; Instrumentation; Analysis
10.1371/journal.pcbi.1004957,2016,N/A,"Genome, Bacterial; High-Throughput Nucleotide Sequencing; Metagenome; Microbiota; Sequence Analysis, Dna; Software; User-Computer Interface",Software,Genetics; Genetics; Genetics; Methods
10.1038/srep19233,2016,N/A,Computational Biology; Ecosystem; Gastrointestinal Microbiome; High-Throughput Nucleotide Sequencing; Humans; Metagenome; Metagenomics; Skin; Software,Software,Methods; Genetics; Genetics; Methods; Microbiology
10.1371/journal.pone.0272660,2022,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring; Fishes; Lakes; Water","Dna, Environmental; Lakes",Methods; Genetics; Methods; Genetics
10.1371/journal.pone.0149786,2016,N/A,Animals; Bays; Biomass; Dna; Ecosystem; Japan; Perciformes,N/A,Genetics; Genetics
10.7717/peerj.9176,2020,Aquatic insect; Diptera index; EPT index; eDNA,N/A,N/A,N/A
10.1038/s41598-020-80602-9,2021,N/A,"Biodiversity; Cluster Analysis; Cytophagaceae; Dna Barcoding, Taxonomic; Dna, Environmental; Forests; Fresh Water; Lactococcus; Mycoplasma; Rna, Ribosomal, 16S",Forests,Genetics; Isolation & Purification; Methods; Analysis; Microbiology; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Chemistry; Metabolism
10.1128/AEM.01240-10,2010,N/A,"Air Microbiology; Aspergillus Fumigatus; Bacillus; Bacteria; Dna, Bacterial; Dna, Fungal; Escherichia Coli; Fungi; Polymerase Chain Reaction; Reproducibility Of Results; Sensitivity And Specificity; Spores, Fungal",Air Microbiology,Genetics; Metabolism; Genetics; Metabolism; Genetics; Metabolism; Genetics; Genetics; Genetics; Metabolism; Genetics; Metabolism; Methods; Genetics; Metabolism
10.3390/biology10111132,2021,DNA barcoding; aquaculture; biodiversity; fisheries,N/A,N/A,N/A
10.1002/ece3.4013,2018,Triturus cristatus; environmental DNA; great crested newt; high‐throughput sequencing; metabarcoding; ponds; real‐time quantitative PCR,N/A,N/A,N/A
10.1111/1755-0998.12433,2016,community ecology; environmental DNA; mesocosm; metabarcoding; species diversity,"Amphibians; Animals; Biodiversity; Dna Barcoding, Taxonomic; Environmental Monitoring; Fishes",Biodiversity,Classification; Genetics; Methods; Classification; Genetics
10.1111/cobi.13183,2019,ADN ambiental; baited remote underwater video systems; elasmobranchs; elasmobranquios; environmental DNA; environmental genomics; genómica ambiental; manejo marino; marine management; sistemas remotos de video submarino con carnada,Animals; Biodiversity; Conservation Of Natural Resources; Ecosystem; Fishes; Western Australia,Conservation Of Natural Resources; Ecosystem,N/A
10.1038/s41598-024-60762-8,2024,N/A,"Animals; Seasons; Fishes; Norway; Dna Barcoding, Taxonomic; Biodiversity; Estuaries; Ecosystem; Environmental Monitoring; Dna, Environmental","Seasons; Fishes; Dna Barcoding, Taxonomic; Biodiversity; Estuaries",Genetics; Classification; Methods; Methods; Genetics; Analysis
10.1371/journal.pone.0290036,2023,N/A,"Animals; Biosurveillance; Dna Barcoding, Taxonomic; Biodiversity; Ecosystem; Dna, Environmental; Plants; Introduced Species; Insecta; Ontario; Environmental Monitoring","Biosurveillance; Dna, Environmental",Methods; Genetics; Methods
10.1002/ece3.4387,2018,environmental DNA; high‐throughput sequencing; in silico; metabarcoding; primers,N/A,N/A,N/A
10.1038/s41598-017-12501-5,2017,N/A,"Animals; Aquatic Organisms; Dna; Environmental Monitoring; Metagenomics; Seawater; Sensitivity And Specificity; Sequence Analysis, Dna; Tropical Climate",N/A,Classification; Genetics; Analysis; Genetics; Methods; Methods; Chemistry
10.1371/journal.pone.0176343,2017,N/A,"Animals; Bays; Biodiversity; California; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Fishes; Vertebrates","Bays; Dna Barcoding, Taxonomic; Ecosystem",Methods; Genetics; Genetics
10.1371/journal.pone.0003881,2008,N/A,Animals; Ecosystem; Fisheries; Fishes; Oceans And Seas; Risk; Time Factors,Ecosystem,Methods; Physiology
10.1098/rstb.2004.1573,2005,N/A,"Animals; Conservation Of Natural Resources; Ecosystem; Fisheries; Fishes; Food Supply; Forecasting; History, 20Th Century; International Cooperation; Oceans And Seas; Predatory Behavior; Reproduction",Conservation Of Natural Resources; Food Supply; Predatory Behavior,Methods; Physiology; History; Physiology
10.1038/s41598-023-47462-5,2023,N/A,"Dna Barcoding, Taxonomic; Phytoplankton; Reproducibility Of Results; Biodiversity; Dna, Environmental; Environmental Monitoring","Dna Barcoding, Taxonomic; Dna, Environmental",Methods; Genetics; Genetics; Methods
10.1128/AEM.01298-08,2008,N/A,"Animals; Biomass; Dna Primers; Dna, Algal; Dna, Protozoan; Dna, Ribosomal; Diatoms; Dinoflagellida; Polymerase Chain Reaction; Seawater; Sensitivity And Specificity; Sweden",Biomass,Genetics; Genetics; Genetics; Genetics; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Methods; Microbiology; Parasitology
10.1128/AEM.02720-06,2007,N/A,"Cheese; Colony Count, Microbial; Food Microbiology; Gene Expression Profiling; Gene Expression Regulation, Fungal; Kluyveromyces; L-Lactate Dehydrogenase; Lac Operon; Lactic Acid; Lactose; Methionine; Oligonucleotide Array Sequence Analysis; Saccharomyces Cerevisiae Proteins; Saccharomycetales; Transaminases; Yarrowia; Yeasts","Gene Expression Regulation, Fungal",Microbiology; Genetics; Metabolism; Genetics; Metabolism; Metabolism; Metabolism; Genetics; Genetics; Metabolism; Genetics; Genetics; Metabolism; Genetics; Metabolism
10.1038/s41598-020-79738-5,2021,N/A,"Biodiversity; Climate Change; Dna Barcoding, Taxonomic; Dna, Environmental; Dna, Plant; Ecosystem; Environmental Monitoring; Ice Cover; Italy; Pilot Projects; Plants",N/A,Methods; Genetics; Genetics; Methods; Genetics
10.1038/s41598-022-25274-3,2022,N/A,"Animals; Dna, Environmental; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Fishes; Biodiversity","Dna, Environmental",Genetics; Methods; Methods; Genetics
10.1038/s41598-022-19954-3,2022,N/A,"Animals; Coral Reefs; Dna, Environmental; Ecosystem; Estuaries; Fishes","Dna, Environmental",Genetics; Genetics
10.1371/journal.pone.0283088,2023,N/A,"Animals; Dna, Environmental; Dna Barcoding, Taxonomic; Biodiversity; Environmental Monitoring; Fishes; Fresh Water; Cypriniformes; Water; Ecosystem","Dna, Environmental; Cypriniformes",Methods; Methods; Genetics; Genetics
10.1002/ece3.10788,2023,assessment; biodiversity; eDNA; environmental DNA; iDNA; mammals; meta‐analysis; survey,N/A,N/A,N/A
10.1186/s40064-015-1285-z,2015,DNA; Deer; Herbivory; Sweden,N/A,N/A,N/A
10.1038/s41598-022-13653-9,2022,N/A,"Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Eukaryota; Seawater","Dna, Environmental; Eukaryota",Genetics; Methods; Genetics
10.1038/s41598-019-51341-3,2019,N/A,"Archaea; Atlantic Ocean; Bacteria; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Environmental; Ecological Parameter Monitoring; Eukaryota; Geologic Sediments; Maine; Metagenome; Microbiota; Phylogeny; Seawater",N/A,Classification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Microbiology; Genetics; Microbiology
10.1073/pnas.0605127103,2006,N/A,"Biodiversity; Databases, Genetic; Ecosystem; Environmental Microbiology; Evolution, Molecular; Genetic Variation; Marine Biology; Phylogeny; Seawater; Sequence Analysis, Dna; Temperature; Water Microbiology",Genetic Variation; Water Microbiology,Methods
