DOI,Year,Keywords
10.1371/journal.pone.0238557,2021,N/A
10.1098/rsos.150088,2015,MiSeq; community ecology; environmental DNA; metabarcoding; mitogenome; resource management
10.1371/journal.pone.0041732,2012,N/A
10.1371/journal.pone.0022746,2011,N/A
10.1098/rsbl.2008.0118,2008,N/A
10.1093/nar/24.16.3189,1996,N/A
10.1038/s41598-021-85488-9,2021,N/A
10.1038/s41598-022-15488-w,2022,N/A
10.7717/peerj.14071,2022,Assessment; Biodiversity; Biomonitoring; Management; Marine; Metabarcoding; Primer set; Protocol; Site occupancy; eDNA
10.1038/srep40368,2017,N/A
10.1371/journal.pone.0266720,2022,N/A
10.1002/ece3.4213,2018,Arctic; coastal biodiversity; eDNA metabarcoding; global changes; invasion; spatio‐temporal distribution
10.1371/journal.pone.0236540,2020,N/A
10.1186/1742-9994-10-34,2013,DNA barcoding; Food web; Mini-barcode; Mitochondrial marker; Second generation sequencing; Trophic interactions
10.1371/journal.pone.0010278,2010,N/A
10.1098/rstb.2003.1447,2004,N/A
10.1002/ece3.10275,2023,cascade hydropower; environmental DNA; fish diversity; species composition of the community; the Wujiang River
10.1371/journal.pone.0210357,2019,N/A
10.1016/j.ese.2024.100441,2024,Aquatic biodiversity; Environmental nucleic acids; Organismal size; Species detectability
10.1038/s41467-020-17337-8,2020,N/A
10.1002/ece3.1439,2015,Altitude range; comparative analysis; environmental filtering; insects; latitude; spatial extent; variance partitioning
10.1002/ece3.834,2013,Active dispersal; Moran's eigenvector maps; aquatic macroinvertebrates; community structure; environmental filtering; headwater streams; partial redundancy analysis; passive dispersal; variation partitioning
10.1002/ece3.470,2013,Co-occurrence; dispersal; environmental heterogeneity; headwater streams; metacommunities
10.1111/1755-0998.13658,2022,allochthonous DNA; ancient DNA; biodiversity assessment; environmental DNA; extracellular DNA; intracellular DNA; metabarcoding; spatial resolution; temporal resolution
10.1128/mBio.00637-18,2018,biodiversity; ecology; extracellular DNA; mathematical modeling; phylogenetic analysis; sampling theory
10.24272/j.issn.2095-8137.2021.331,2022,DNA extraction; Estuarine ecosystem; Fish diversity; Sampling strategies; eDNA metabarcoding
10.1038/s41598-021-86731-z,2021,N/A
10.1038/s42003-021-01760-8,2021,N/A
10.1111/1755-0998.12281,2015,Lepomis macrochirus; eDNA extraction; eDNA preservation; environmental DNA
10.7717/peerj.12357,2021,16S; Illumina; Invasive; Metabarcoding; Monitoring; Newt; Water; eDNA
10.1093/nar/gkv107,2015,N/A
10.1002/eap.2379,2021,beta diversity; biomonitoring; citizen science; community ecology; ecological modeling; environmental DNA; gradient forest; remote sensing; zeta diversity
10.1371/journal.pone.0285674,2023,N/A
10.1038/s41598-020-71238-w,2020,N/A
10.1038/s41598-018-23052-8,2018,N/A
10.1371/journal.pcbi.1004957,2016,N/A
10.1038/srep19233,2016,N/A
10.1371/journal.pone.0272660,2022,N/A
10.1371/journal.pone.0149786,2016,N/A
10.7717/peerj.9176,2020,Aquatic insect; Diptera index; EPT index; eDNA
10.1038/s41598-020-80602-9,2021,N/A
10.1128/AEM.01240-10,2010,N/A
10.3390/biology10111132,2021,DNA barcoding; aquaculture; biodiversity; fisheries
10.1002/ece3.4013,2018,Triturus cristatus; environmental DNA; great crested newt; high‐throughput sequencing; metabarcoding; ponds; real‐time quantitative PCR
10.1111/1755-0998.12433,2016,community ecology; environmental DNA; mesocosm; metabarcoding; species diversity
10.1111/cobi.13183,2019,ADN ambiental; baited remote underwater video systems; elasmobranchs; elasmobranquios; environmental DNA; environmental genomics; genómica ambiental; manejo marino; marine management; sistemas remotos de video submarino con carnada
10.1038/s41598-024-60762-8,2024,N/A
10.1371/journal.pone.0290036,2023,N/A
10.1002/ece3.4387,2018,environmental DNA; high‐throughput sequencing; in silico; metabarcoding; primers
10.1038/s41598-017-12501-5,2017,N/A
10.1371/journal.pone.0176343,2017,N/A
10.1371/journal.pone.0003881,2008,N/A
10.1098/rstb.2004.1573,2005,N/A
10.1038/s41598-023-47462-5,2023,N/A
10.1128/AEM.01298-08,2008,N/A
10.1128/AEM.02720-06,2007,N/A
10.1038/s41598-020-79738-5,2021,N/A
10.1038/s41598-022-25274-3,2022,N/A
10.1038/s41598-022-19954-3,2022,N/A
10.1371/journal.pone.0283088,2023,N/A
10.1002/ece3.10788,2023,assessment; biodiversity; eDNA; environmental DNA; iDNA; mammals; meta‐analysis; survey
10.1186/s40064-015-1285-z,2015,DNA; Deer; Herbivory; Sweden
10.1038/s41598-022-13653-9,2022,N/A
10.1038/s41598-019-51341-3,2019,N/A
10.1073/pnas.0605127103,2006,N/A
10.1371/journal.pone.0177643,2017,N/A
10.7717/peerj.13477,2022,Environmental DNA; Freshwater; Fungi; Metabarcoding; Method
10.1098/rspb.2023.1614,2024,18S rRNA; Arctic; community ecology; environmental DNA; indicator species; metabarcoding
10.1038/s41598-018-27048-2,2018,N/A
10.1002/ece3.10681,2023,biodiversity; environmental DNA; fish detection; the upper Yangtze River
10.1111/mec.15811,2021,Oncorhynchus; aquatic community; biodiversity; environmental DNA; genetic diversity; metabarcoding
10.1098/rsos.180537,2018,cetacean; environmental DNA; next-generation sequencing; population genetics; porpoise; stock
10.1371/journal.pone.0041781,2012,N/A
10.7717/peerj.15171,2023,Aerial survey; Aeroallergen; Air filtration; Air sampler; Atmospheric survey; Bioaerosol; Biodefense; Biomonitoring; Environmental DNA; Environmental genetics; Metabarcoding
10.7717/peerj.11619,2021,Benthos; Community Ecology; DNA Extraction; Metabarcoding; Environmental DNA; Environmental impact; Marine biology
10.1111/mec.16364,2022,DNA; diversity assessment; fish; invertebrates; meta-analysis; metabarcoding; microorganisms
10.1371/journal.pone.0081327,2013,N/A
10.1101/gr.112730.110,2011,N/A
10.1111/mec.15646,2021,aquatic bioindication; biomonitoring; diatoms; environmental DNA; metabarcoding; taxonomy-free
10.1002/ece3.4985,2019,Dreissena; Great Lakes; environmental DNA; high‐throughput sequencing; invasive species
10.1371/journal.pone.0253104,2021,N/A
